0-QSX,2-QSX,53-QSX,54-QSX,70-QSX,72-QSX
210.9240214,21796.15286,111009.0193,4090.959751,20653.49174,8722.630267
211.2778163,21765.69827,110077.3791,4085.57496,20627.50351,8599.057562
211.6251317,21735.65161,109149.8391,4080.254216,20603.7773,8466.419874
211.9653358,21706.01162,108227.4862,4075.010163,20582.29103,8325.83696
212.2977975,21676.77744,107311.4491,4069.855054,20563.01884,8178.489891
212.6218875,21647.94869,106402.8963,4064.800726,20545.93123,8025.606557
212.9369796,21619.52541,105503.034,4059.858578,20530.99511,7868.447028
213.242452,21591.5081,104613.1035,4055.039553,20518.17401,7708.288927
213.5376889,21563.89771,103734.3786,4050.354118,20507.42813,7546.41304
213.8220814,21536.6956,102868.1621,4045.812245,20498.71452,7384.089315
214.0950292,21509.90361,102015.7824,4041.423399,20491.98722,7222.563445
214.3559415,21483.52399,101178.5894,4037.19652,20487.19736,7063.044182
214.6042387,21457.55943,100357.9504,4033.140014,20484.29337,6906.691527
214.839353,21432.01302,99555.24592,4029.261735,20483.2211,6754.605942
215.0607304,21406.88827,98771.8643,4025.568981,20483.92399,6607.818673
215.2678314,21382.1891,98009.19717,4022.068481,20486.34322,6467.283294
215.4601322,21357.91977,97268.63401,4018.766391,20490.4179,6333.868547
215.6371262,21334.08495,96551.55668,4015.668286,20496.08526,6208.352518
215.7983245,21310.68965,95859.33379,4012.779154,20503.28074,6091.418193
215.9432577,21287.73921,95193.31491,4010.103399,20511.93827,5983.650401
216.0714762,21265.23929,94554.82466,4007.644831,20521.99038,5885.534141
216.1825517,21243.19585,93945.15667,4005.406673,20533.36841,5797.454252
216.2760782,21221.61513,93365.56757,4003.391559,20546.00266,5719.69639
216.3516724,21200.50359,92817.27086,4001.601537,20559.82263,5652.449239
216.408975,21179.86798,92301.43087,4000.038072,20574.75712,5595.807875
216.4476515,21159.71519,91819.15671,3998.702052,20590.7345,5549.778187
216.4673928,21140.05235,91371.49636,3997.593797,20607.68283,5514.282234
216.4679158,21120.88669,90959.43081,3996.71306,20625.53006,5489.164436
216.4489644,21102.2256,90583.86842,3996.059043,20644.2042,5474.198437
216.4103099,21084.07655,90245.63941,3995.630404,20663.63353,5469.094537
216.3517515,21066.44708,89945.49062,3995.425267,20683.74672,5473.507515
216.273117,21049.34476,89684.0805,3995.441235,20704.47306,5487.044732
216.1742629,21032.77718,89461.97439,3995.675407,20725.74258,5509.274335
